         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1847995679            1.1683159310
           0.3695991357            4.2384756963
           0.5543987036            8.5036816067
           0.7391982714           13.0165535442
           0.9239978393           16.4479794647
           1.1087974071           17.5581248208
           1.2935969750           16.4552153422
           1.4783965429           14.0101030771
           1.6631961107           11.0427473842
           1.8479956786            8.3290386071
           2.0327952464            6.5993698025
           2.2175948143            6.3352996522
           2.4023943822            7.6442058496
           2.5871939500           10.2018365367
           2.7719935179           13.3251390447
           2.9567930857           16.1195793169
           3.1415926536           17.7509651599
           3.3263922214           17.6848944559
           3.5111917893           15.9334077474
           3.6959913572           13.0656556426
           3.8807909250           10.0733130675
           4.0655904929            7.9711567215
           4.2503900607            7.4512158570
           4.4351896286            8.5039887902
           4.6199891965           10.6965883554
           4.8047887643           13.5771555251
           4.9895883322           17.1122729368
           5.1743879000           21.2620513715
           5.3591874679           25.5564843463
           5.5439870357           19.4454548920
           5.7287866036           16.1495598998
           5.9135861715           12.8331361241
           6.0983857393           10.5126589629
           6.2831853072            9.6363038672
