         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.1689404139
           0.3490658504            0.7087930693
           0.5235987756            1.7593054471
           0.6981317008            3.4259596297
           0.8726646260            5.7497948054
           1.0471975512            8.3991814614
           1.2217304764           10.3378269273
           1.3962634016            9.1287527365
           1.5707963268            7.6609040287
           1.7453292520            6.4180055233
           1.9198621772            5.4538274573
           2.0943951024            4.7765062548
           2.2689280276            4.3128246013
           2.4434609528            4.0222762850
           2.6179938780            3.9087339181
           2.7925268032            3.9686136934
           2.9670597284            4.0432829094
           3.1415926536            3.8897935622
           3.3161255788            3.6885384960
           3.4906585040            3.7702177966
           3.6651914292            4.1322427211
           3.8397243544            4.6100626913
           4.0142572796            5.0916056203
           4.1887902048            5.5284572907
           4.3633231300            5.9433519059
           4.5378560552            6.3912700582
           4.7123889804            6.9385056192
           4.8869219056            7.5020717893
           5.0614548308            7.3304481146
           5.2359877560            5.5004510838
           5.4105206812            3.7321217937
           5.5850536064            2.3573024224
           5.7595865316            1.3251685435
           5.9341194568            0.5973012178
           6.1086523820            0.1547443362
           6.2831853072            0.0000315060
