         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.9036524177
           0.3490658504            3.3949918588
           0.5235987756            7.0332599090
           0.6981317008           11.2045411875
           0.8726646260           15.0261452674
           1.0471975512           16.8404365580
           1.2217304764           15.2030251928
           1.3962634016           12.5966731049
           1.5707963268            9.6793830688
           1.7453292520            7.2199093195
           1.9198621772            5.7527957516
           2.0943951024            5.6463396088
           2.2689280276            6.9587954821
           2.4434609528            9.4824259459
           2.6179938780           12.6581518096
           2.7925268032           15.6579639318
           2.9670597284           17.4651532453
           3.1415926536           17.1938157114
           3.3161255788           14.8023607869
           3.4906585040           11.1922696012
           3.6651914292            7.4539910104
           3.8397243544            4.4331853913
           4.0142572796            2.3781383892
           4.1887902048            1.5923446601
           4.3633231300            2.6366477307
           4.5378560552            5.3981038483
           4.7123889804            9.2235779149
           4.8869219056           13.0339212259
           5.0614548308           15.5999430104
           5.2359877560           16.1440043420
           5.4105206812           14.8048313823
           5.5850536064           12.2649254448
           5.7595865316            7.8846753816
           5.9341194568            3.6721291219
           6.1086523820            0.9348065990
           6.2831853072            0.0000630120
