         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.3630777499
           0.3490658504            1.3636741244
           0.5235987756            2.6867160130
           0.6981317008            3.9838468436
           0.8726646260            5.1613546496
           1.0471975512            6.2277565525
           1.2217304764            7.1603682337
           1.3962634016            8.0171265985
           1.5707963268            8.9057637826
           1.7453292520            9.9766290353
           1.9198621772           11.3855562753
           2.0943951024           13.2966549967
           2.2689280276           15.7964826788
           2.4434609528           18.7636677142
           2.6179938780            0.5324251163
           2.7925268032            0.0215159713
           2.9670597284            0.1444576277
           3.1415926536            0.7053352860
           3.3161255788            1.4914598280
           3.4906585040            2.3591586507
           3.6651914292            3.2672324103
           3.8397243544            4.2709058706
           4.0142572796            5.4564529571
           4.1887902048            6.8434992813
           4.3633231300            8.2876397254
           4.5378560552            9.7687340800
           4.7123889804           11.4928473270
           4.8869219056           13.5426538314
           5.0614548308           15.7734649215
           5.2359877560           17.8758654392
           5.4105206812            5.7208381673
           5.5850536064            4.2049979476
           5.7595865316            2.6802179009
           5.9341194568            1.3201695918
           6.1086523820            0.3567266657
           6.2831853072            0.0000262549
