         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.1576695290
           0.3490658504            4.6392818792
           0.5235987756           10.0358629376
           0.6981317008           16.3633386003
           0.8726646260           22.1984621509
           1.0471975512           25.6457355884
           1.2217304764           25.7115489934
           1.3962634016           22.2386454263
           1.5707963268           17.1319983173
           1.7453292520           11.7506845406
           1.9198621772            7.3640413852
           2.0943951024            4.7349235880
           2.2689280276            3.5016501650
           2.4434609528            3.9859104864
           2.6179938780            6.4320309435
           2.7925268032           10.2979324569
           2.9670597284           14.4438671598
           3.1415926536           17.5182277249
           3.3161255788           18.4163245850
           3.4906585040           16.9879266380
           3.6651914292           13.9351004227
           3.8397243544           10.3546668834
           4.0142572796            7.2273316076
           4.1887902048            5.1946486132
           4.3633231300            4.5750148937
           4.5378560552            5.5389120312
           4.7123889804            7.9563121452
           4.8869219056           11.3026954998
           5.0614548308           14.5528096509
           5.2359877560           16.4101643902
           5.4105206812           15.7702985687
           5.5850536064           12.5605488524
           5.7595865316            8.0950514343
           5.9341194568            3.9229089919
           6.1086523820            1.0486981574
           6.2831853072            0.0000157530
