         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.2732121408
           0.3490658504            1.0321338788
           0.5235987756            2.1342294523
           0.6981317008            3.3705090726
           0.8726646260            4.4014956081
           1.0471975512            5.1493771192
           1.2217304764            5.6771761047
           1.3962634016            5.8454417652
           1.5707963268            5.6557283964
           1.7453292520            5.3773282679
           1.9198621772            5.0202392832
           2.0943951024            3.5321217164
           2.2689280276            2.4988142392
           2.4434609528            1.7214011056
           2.6179938780            1.1983884064
           2.7925268032            1.0058473743
           2.9670597284            1.1750450871
           3.1415926536            1.4220521138
           3.3161255788            1.6581291846
           3.4906585040            2.2239979181
           3.6651914292            3.3250958016
           3.8397243544            5.1629877105
           4.0142572796            7.8518198764
           4.1887902048           11.3129953357
           4.3633231300           15.1885035531
           4.5378560552            9.2741371657
           4.7123889804            9.1562627241
           4.8869219056            8.0729158450
           5.0614548308            5.6535544825
           5.2359877560            3.8856295194
           5.4105206812            2.7450835004
           5.5850536064            2.0699204589
           5.7595865316            1.5907509817
           5.9341194568            0.9335437336
           6.1086523820            0.2692502614
           6.2831853072            0.0000052510
