         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.2958334476
           0.3490658504            1.0846071190
           0.5235987756            2.0680117204
           0.6981317008            3.1315859601
           0.8726646260            4.5555678162
           1.0471975512            6.6960092013
           1.2217304764            9.5375535665
           1.3962634016           12.7656213953
           1.5707963268           15.6438019855
           1.7453292520           16.7313444134
           1.9198621772           14.4506724555
           2.0943951024           11.5972503289
           2.2689280276           10.2074209748
           2.4434609528           10.0094950425
           2.6179938780            9.1399006089
           2.7925268032            6.9956312451
           2.9670597284            4.9431178503
           3.1415926536            3.3412347493
           3.3161255788            2.2740898299
           3.4906585040            1.7595706226
           3.6651914292            1.7565854292
           3.8397243544            2.1602297774
           4.0142572796            2.9750799135
           4.1887902048            4.1647175289
           4.3633231300            5.8162777128
           4.5378560552            7.7502209084
           4.7123889804            9.1531278772
           4.8869219056            9.0966586263
           5.0614548308            8.2033112955
           5.2359877560            6.9077111314
           5.4105206812            5.3898282728
           5.5850536064            3.7990904185
           5.7595865316            2.3262033765
           5.9341194568            1.1087275862
           6.1086523820            0.2924097958
           6.2831853072            0.0000630120
