         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.5209096739
           0.3490658504            2.1028284741
           0.5235987756            4.6671016758
           0.6981317008            8.2600299690
           0.8726646260           12.4685618395
           1.0471975512           16.0919669349
           1.2217304764           17.7552447247
           1.3962634016           17.6221108779
           1.5707963268           16.8703173720
           1.7453292520           16.3672689735
           1.9198621772           16.4098230753
           2.0943951024           17.1271017600
           2.2689280276           18.7685773990
           2.4434609528           22.0197942601
           2.6179938780           27.7467288382
           2.7925268032           36.3724778099
           2.9670597284           46.5394739634
           3.1415926536           53.3009027447
           3.3161255788           50.3613327167
           3.4906585040           40.6614313664
           3.6651914292           29.8527105375
           3.8397243544           20.6424124009
           4.0142572796           13.8675305584
           4.1887902048            9.4706400771
           4.3633231300            7.0637918470
           4.5378560552            6.2092625315
           4.7123889804            6.5278853179
           4.8869219056            7.6890100048
           5.0614548308            9.1077513632
           5.2359877560            9.8898352611
           5.4105206812            9.2352955209
           5.5850536064            7.0977579386
           5.7595865316            4.4070695443
           5.9341194568            2.0489453406
           6.1086523820            0.5140151114
           6.2831853072            0.0000551355
