         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            1.0434812893
           0.3490658504            4.1099259723
           0.5235987756            8.7293722001
           0.6981317008           13.8906795906
           0.8726646260           18.2536774943
           1.0471975512           20.5021109395
           1.2217304764           19.9303243294
           1.3962634016           16.7064389218
           1.5707963268           11.9069464157
           1.7453292520            6.8625577848
           1.9198621772            2.7827489214
           2.0943951024            0.4417718572
           2.2689280276            0.1068158363
           2.4434609528            1.6693794515
           2.6179938780            4.7353200385
           2.7925268032            8.5443716036
           2.9670597284           12.0197877741
           3.1415926536           13.9715003528
           3.3161255788           13.7594912392
           3.4906585040           11.5887017013
           3.6651914292            8.3057845550
           3.8397243544            4.9909308283
           4.0142572796            2.4822447096
           4.1887902048            1.2931558238
           4.3633231300            1.5860145800
           4.5378560552            3.3295827809
           4.7123889804            6.2004513540
           4.8869219056            9.5811526171
           5.0614548308           12.5240780339
           5.2359877560           14.0815796854
           5.4105206812           13.5725897808
           5.5850536064           11.0432042213
           5.7595865316            7.3553037217
           5.9341194568            3.6697005346
           6.1086523820            0.9790173912
           6.2831853072            0.0000183785
