         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0044265928
           0.1745329252            0.7281692582
           0.3490658504            2.7288920428
           0.5235987756            5.4913563523
           0.6981317008            8.2797842299
           0.8726646260           10.3188891968
           1.0471975512           11.0244922838
           1.2217304764           10.2963939141
           1.3962634016            8.5748746609
           1.5707963268            6.6648077610
           1.7453292520            5.4761757121
           1.9198621772            5.4975262769
           2.0943951024            6.6572673254
           2.2689280276            8.8151131490
           2.4434609528           11.9295204635
           2.6179938780           15.8535899263
           2.7925268032           19.9676011764
           2.9670597284           23.1912844205
           3.1415926536           24.4078097798
           3.3161255788           23.1652893464
           3.4906585040           19.9785180048
           3.6651914292           15.9352613504
           3.8397243544           12.0572615336
           4.0142572796            8.9393491768
           4.1887902048            6.7358984207
           4.3633231300            5.5256322529
           4.5378560552            5.4792869294
           4.7123889804            6.6632403375
           4.8869219056            8.5728845320
           5.0614548308           10.2967509821
           5.2359877560           11.0307304715
           5.4105206812           10.3298060253
           5.5850536064            8.2908612138
           5.7595865316            5.4989125409
           5.9341194568            2.7319691286
           6.1086523820            0.7285131987
           6.2831853072            0.0000000000
